date,event_description,location,category
1799-11-09,"Переворот 18 брюмера во Франции. Наполеон Бонапарт становится Первым консулом, фактически сосредоточив в своих руках власть.","Париж, Франция",Политика/Переворот
1801-03-23,"Убийство российского императора Павла I в результате дворцового переворота. На престол вступает его сын Александр I.","Санкт-Петербург, Россия",Политика/Переворот
1802-03-25,"Заключен Амьенский мирный договор между Францией и Великобританией, завершивший войну Второй коалиции. Наступил короткий период мира в Европе.","Амьен, Франция",Дипломатия/Война
1803-05-18,"Великобритания разрывает Амьенский мир и объявляет войну Франции. Возобновление Наполеоновских войн.","Лондон, Великобритания",Политика/Война
1804-05-18,"Сенат провозглашает Наполеона Бонапарта императором французов Наполеоном I.","Париж, Франция",Политика
1804-12-02,"Коронация Наполеона I в соборе Парижской Богоматери в присутствии Папы Римского Пия VII.","Париж, Франция",Политика/Церемония
1805-08-09,"Австрия присоединяется к русско-английскому союзу. Сформирована Третья антифранцузская коалиция (Россия, Великобритания, Австрия, Швеция, Неаполитанское королевство).","Вена, Австрия",Дипломатия/Война
1805-10-20,"Капитуляция австрийской армии генерала Мака под Ульмом перед армией Наполеона.","Ульм, Бавария",Война
1805-10-21,"Трафальгарское сражение. Британский флот под командованием адмирала Нельсона одержал решающую победу над франко-испанским флотом, обеспечив господство Британии на море. Нельсон погиб в сражении.","мыс Трафальгар, Испания",Война/Флот
1805-12-02,"Битва под Аустерлицем ('Битва трёх императоров'). Наполеон I одержал решительную победу над русско-австрийскими войсками под командованием императоров Александра I и Франца II.","Аустерлиц, Моравия (ныне Славков-у-Брна, Чехия)",Война
1805-12-26,"Прессбургский мирный договор между Францией и Австрией. Австрия признала завоевания Наполеона, уступила территории и вышла из Третьей коалиции.","Прессбург (ныне Братислава, Словакия)",Дипломатия/Война
1806-07-12,"Образование Рейнского союза под протекторатом Наполеона из 16 германских государств. Священная Римская империя фактически прекратила существование.","Париж, Франция",Политика
1806-10-14,"Сражения при Йене и Ауэрштедте. Наполеон разгромил прусскую армию при Йене, маршал Даву разбил основные силы пруссаков при Ауэрштедте. Пруссия выведена из войны.","Йена / Ауэрштедт, Саксония",Война
1806-11-21,"Наполеон подписывает Берлинский декрет о Континентальной блокаде, запрещающий торговлю с Великобританией всем подконтрольным Франции и союзным государствам.","Берлин, Пруссия",Политика/Экономика
